Item Name,Date Purchased,Link to item,Category
Java Fern,9/14/2026,https://www.modernaquarium.com/java-fern-microsorium-pteropus/,Plant
Salvinia,9/14/2026,https://www.modernaquarium.com/salvinia-salvinia-rotundifolia-minima-4-oz-cup/,Plant
Polished River Stones,9/14/2026,https://www.modernaquarium.com/polished-river-stones-set-of-5/,Hardscape
Wisteria,9/14/2026,https://www.modernaquarium.com/wisteria-hygrophila-difformis-set-of-2-plants/,Plant
hygger MINI 1.5W Fish Bowl Aquarium Silent Air Pump,9/16/2026,https://www.amazon.com/dp/B0FP26XBTL,Equipment
Hygger Aquarium Double Sponge Filter,9/16/2026,https://www.amazon.com/dp/B07RFL4JMM,Equipment
Amazon Sword Plant 8 In,8/31/2026,petsmart.com,Plant
Amazon Sword Plant 4 In,8/31/2026,petsmart.com,Plant
Mini Dwarf Hairgrass,8/31/2026,petsmart.com,Plant
Dwarf Hairgrass Plant,8/31/2026,petsmart.com,Plant
Shrimp Moss Coconut Bridge,8/31/2026,petsmart.com,Plant
Moss Cup,8/31/2026,petsmart.com,Plant
Cholla Wood,8/31/2026,petsmart.com,Plant
Seachem Prime 3.4 Fl Oz,8/31/2026,petsmart.com,Water Treatment
Tf Strip Thermometer,8/1/2026,petsmart.com,Equipment
Aqe Heater Preset 50w,8/1/2026,petsmart.com,Equipment
Tf Shrimp Micro Pellets 1.3 Oz,8/1/2026,petsmart.com,Food
Seachem Betta Basics,8/28/2026,https://a.co/d/04ALaZ1M,Water Treatment
TettraBetta Plus Pellets,8/28/2026,https://a.co/d/0bqEDTJN,Food
Fluval Stratum Substrate,8/28/2026,https://a.co/d/08AV2XAJ,Equipment
Carib Sea Natural Sand,8/28/2026,https://a.co/d/09Xnsaj2,Equipment
